IDSORT	INDIV	DAM	SIRE	HATCH_DATE	COHORT	GEN	SEX	MORPH	P_ORANGE	P_YELLOW	P_GREY
34	264	0	0	NA	1	1	M	OY	16.47	33.00	50.52
35	217	0	0	NA	1	1	M	G	0.00	1.41	98.58
36	267	0	0	NA	1	1	M	Y	0.36	48.52	51.11
37	238.4	0	0	NA	1	1	M	O	41.24	0.02	58.74
38	248	0	0	NA	1	1	M	G	0.04	0.07	99.90
39	234	0	0	NA	1	1	M	OY	40.32	28.10	31.58
40	238.3	0	0	NA	1	1	M	G	0.03	0.00	99.97
41	203.1	203	258	12/19/2012	2	2	M	Y	0.13	35.05	64.81
42	203.2	203	258	12/19/2012	2	2	F	Y	0.99	5.50	93.49
43	203.4	203	258	12/19/2012	2	2	F	OY	7.61	5.35	87.04
44	203.5	203	257	1/23/2013	2	2	M	O	18.96	0.06	80.98
45	203.6	203	257	1/23/2013	2	2	M	O	46.04	0.07	53.90
46	205.4	205	269	1/24/2013	2	2	M	G	0.00	0.00	100.00
47	205.6	205	208	11/4/2013	3	2	M	G	0.00	0.03	99.97
48	205.7	205	208	11/5/2013	3	2	F	OY	8.91	6.28	84.81
49	206.11	206	213	11/7/2013	3	2	M	Y	0.01	24.33	75.66
50	206.3	206	224	12/14/2012	2	2	M	G	0.05	0.03	99.93
51	206.4	206	224	12/14/2012	2	2	M	OY	81.94	3.02	15.04
52	206.5	206	224	12/14/2012	2	2	M	Y	0.15	28.40	71.44
53	206.6	206	224	12/14/2012	2	2	F	Y	0.13	7.60	92.27
54	206.7	206	213	11/8/2013	3	2	F	G	0.24	0.15	99.62
55	206.8	206	213	11/5/2013	3	2	M	O	79.81	0.45	19.74
56	206.9	206	213	11/6/2013	3	2	M	OY	1.99	5.70	92.31
57	209.2	209	262	1/19/2013	2	2	M	Y	0.04	10.70	89.26
58	209.5	209	210	11/13/2013	3	2	Juv	O	39.71	0.36	59.93
59	209.6	209	210	11/12/2013	3	2	Juv	O	25.35	0.09	74.56
60	209.8	209	210	11/13/2013	3	2	M	O	44.29	0.25	55.47
61	211.1	211	253	1/7/2013	2	2	F	OY	37.40	11.81	50.79
62	211.3	211	253	1/7/2013	2	2	M	OY	6.81	3.50	89.70
63	211.4	211	253	1/7/2013	2	2	F	OY	25.13	3.10	71.77
64	211.5	211	253	1/7/2013	2	2	M	Y	0.01	23.90	76.09
65	211.6	211	253	1/7/2013	2	2	M	Y	0.04	39.11	60.85
66	218.3	218	230	1/16/2014	3	2	F	O	35.81	0.00	64.19
67	219.3	219	269	11/11/2013	3	2	F	OY	19.38	1.03	79.60
68	220.2	220	214	1/7/2013	2	2	F	OY	40.66	4.34	55.00
69	220.3	220	214	1/9/2013	2	2	F	O	11.17	0.21	88.61
70	221.1	221	222	11/9/2012	2	2	M	O	17.57	0.00	82.43
71	221.2	221	222	11/9/2012	2	2	M	G	0.00	0.00	100.00
72	221.4	221	222	11/9/2012	2	2	F	O	3.00	0.84	96.16
73	226.1	226	240	12/18/2012	2	2	M	Y	0.29	13.40	86.31
74	227.4	227	263	11/4/2013	3	2	M	OY	30.68	10.73	58.59
75	232.1	232	256	12/17/2012	2	2	F	O	56.40	0.02	43.58
76	232.3	232	256	12/17/2012	2	2	M	O	4.23	0.57	95.20
77	232.6	232	214	11/24/2013	3	2	Juv	O	52.20	0.00	47.80
78	232.8	232	214	11/25/2013	3	2	M	O	18.83	0.00	81.19
79	238.11	238	245	12/17/2012	2	2	M	O	20.87	0.01	79.11
80	238.12	238	245	12/17/2012	2	2	F	OY	44.25	6.77	48.98
81	238.8	238	245	12/17/2012	2	2	M	O	77.76	0.00	22.24
82	238.9	238	245	12/17/2012	2	2	M	O	53.20	0.10	46.70
83	242.1	242	264	12/14/2012	2	2	F	O	13.20	0.14	86.66
84	242.2	242	264	12/14/2012	2	2	F	G	0.01	0.00	99.98
85	242.3	242	264	12/14/2012	2	2	M	Y	0.00	9.38	90.61
86	242.4	242	264	12/14/2012	2	2	M	Y	0.07	2.90	97.03
87	242.5	242	217	1/14/2013	2	2	M	G	0.00	0.00	100.00
88	242.6	242	217	1/14/2013	2	2	F	G	0.00	0.00	100.00
89	251.1	251	267	1/4/2013	2	2	F	G	0.01	0.06	99.93
90	251.2	251	267	1/4/2013	2	2	F	G	0.06	0.06	99.87
91	251.3	251	267	1/4/2013	2	2	M	Y	0.07	3.87	96.06
92	251.4	251	267	1/4/2013	2	2	F	G	4.03	0.00	95.96
93	251.5	251	238.4	1/3/2014	3	2	F	OY	36.43	3.96	59.61
94	251.6	251	238.4	1/5/2014	3	2	M	O	4.64	0.35	95.00
95	251.7	251	238.4	1/6/2014	3	2	M	O	64.35	0.45	35.21
96	261.3	261	248	1/5/2013	2	2	M	G	0.00	0.01	99.99
97	261.6	261	234	11/8/2013	3	2	F	O	29.20	0.09	70.71
98	206.1.1	206.1	238.3	11/18/2013	3	2	F	Y	0.00	5.92	94.08
